scenario,estimator,rmse_x,rmse_xdot,rmse_theta_deg,rmse_thetadot,nees_mean,nis_mean,t_converge,cpu_time_ms
S1_stabilisation,lowpass,0.006792,0.188151,0.575477,0.275327,0.1127,-1.0000,-1.0000,2.8190
S1_stabilisation,complementary,0.194872,2.823121,15.581786,3.756226,23.1986,-1.0000,-1.0000,3.0330
S1_stabilisation,kf,0.004162,0.026348,0.237502,0.026767,1.6557,-1.0000,0.1200,9.8840
S1_stabilisation,ekf,0.003987,0.030340,0.246519,0.018270,1.6496,0.5491,0.1000,60.2370
S1_stabilisation,ukf,0.004226,0.016986,0.236067,0.016254,1.6711,0.5873,0.1100,99.7960
S2_swingup,lowpass,0.047665,0.234740,9.751744,2.728875,7.8143,-1.0000,-1.0000,1.6340
S2_swingup,complementary,0.478178,6.835088,51.615142,12.886161,223.1735,-1.0000,-1.0000,1.6090
S2_swingup,kf,0.024650,11.922212,10.505370,90.438163,251699.1300,-1.0000,-1.0000,8.7170
S2_swingup,ekf,0.004255,0.019273,0.241560,0.038826,1.7259,0.6239,0.1800,63.0750
S2_swingup,ukf,0.004045,0.013541,0.233316,0.030152,1.5820,0.6076,0.0600,122.9120
S3_high_noise,lowpass,0.029301,1.109243,9.551401,1.177075,2.9024,-1.0000,-1.0000,0.7920
S3_high_noise,complementary,0.136529,1.935314,16.774284,4.129294,21.8400,-1.0000,-1.0000,1.2140
S3_high_noise,kf,0.018034,0.070910,1.060248,0.096236,1.2740,-1.0000,3.2600,5.5520
S3_high_noise,ekf,0.017722,0.067566,1.169027,0.081895,1.3914,1.8019,-1.0000,38.1380
S3_high_noise,ukf,0.016881,0.059226,1.090529,0.095412,1.2616,1.7880,-1.0000,81.7980
S4_low_rate,lowpass,0.010556,0.274528,0.868445,0.416578,0.2523,-1.0000,-1.0000,1.0730
S4_low_rate,complementary,0.204422,2.518946,17.579586,3.853112,22.5508,-1.0000,-1.0000,1.8940
S4_low_rate,kf,0.004464,0.030694,0.376226,0.017475,1.5178,-1.0000,0.1500,5.6710
S4_low_rate,ekf,0.004400,0.016015,0.239260,0.015459,1.4741,0.5594,0.0800,35.7630
S4_low_rate,ukf,0.004370,0.028224,0.259038,0.016556,1.4971,0.5773,0.1200,82.8950
S5_mistuned_QR,lowpass,0.007314,0.194487,0.625938,0.278928,0.1174,-1.0000,-1.0000,0.6840
S5_mistuned_QR,complementary,0.144552,2.061328,15.155171,3.671830,18.6400,-1.0000,-1.0000,0.7620
S5_mistuned_QR,kf,0.004769,0.015198,0.287182,0.017560,19.1946,-1.0000,0.0000,4.8270
S5_mistuned_QR,ekf,0.004883,0.015506,0.287501,0.016532,19.6574,0.0986,0.0000,30.7510
S5_mistuned_QR,ukf,0.004758,0.015061,0.274632,0.015886,18.2896,0.0926,0.0000,70.8030
S6_bad_init,lowpass,0.023354,0.582518,1.288461,0.557306,0.0065,-1.0000,-1.0000,0.6380
S6_bad_init,complementary,0.193834,2.814774,15.782070,3.871519,0.2303,-1.0000,-1.0000,0.7720
S6_bad_init,kf,0.004232,0.029603,0.240355,0.044516,1.7023,-1.0000,0.0700,4.4330
S6_bad_init,ekf,0.004145,0.015277,0.239822,0.025881,1.6640,0.5650,0.0700,28.9880
S6_bad_init,ukf,0.004235,0.078699,0.239994,0.236424,1.7048,0.5593,0.1400,73.4330
